scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
14815,906.8513805353991,587.6748812364249,1303.893447604605,True,80.94541989620654,direction,40.93171964248597,20.465859821242987,911.4502587993591,-0.2247177178888764,True,True
14816,475.46196970239953,672.7819629438711,1147.7941236200008,True,59.85324157730726,direction,40.482157419559485,20.241078709779742,480.0706526570997,0.3216104555048105,True,True
14817,875.4546074298513,572.0616390075478,1129.20938013312,True,84.63368262151491,direction,38.58487735441883,19.292438677209415,877.7232529314388,-0.2046593076522356,True,True
14818,975.9239227195682,588.4294759527776,1122.5750109964315,True,74.92682244705743,direction,46.21579944293556,23.10789972146778,978.4481123555466,-0.271698078489397,True,True
14819,684.9081756202438,589.3224382010006,1160.2452945780228,True,76.85390253652353,direction,35.79864829716424,17.89932414858212,686.6200368857595,0.23205761708254613,True,True
14820,160.54852504109246,874.6256610522424,1049.3804360348588,True,41.83217376600879,direction,53.28048710899671,26.640243554498355,154.8688269797562,0.4626069859870654,True,True
14821,1335.3991316629974,763.169492023631,1406.6165506035518,True,47.930040709171486,direction,91.6614935599972,45.8307467799986,1339.632551932059,-0.6880208298140094,True,True
14822,740.3449974852714,568.0650436465245,1253.0436459219745,True,81.16479717689566,direction,35.28657137033198,17.64328568516599,732.0888617152966,0.2123438699881035,True,True
14823,516.9298947395444,653.4357482255684,1183.7171768726068,True,63.08497404055011,direction,39.36407576883745,19.682037884418726,518.04120242251,0.30514770728291296,True,True
14824,1229.498095452323,707.1872487606084,1438.1000232613255,True,54.42088398539796,direction,73.8972905538322,36.9486452769161,1224.8759835496821,-0.5259989313866651,True,True
14825,448.9852485875135,687.3850472758522,1134.9244130484217,True,58.12900337178982,direction,41.3605586464111,20.68027932320555,452.3493043864783,0.3336294960446935,True,True
14826,816.5826541359611,561.713376661197,1360.3795638614831,True,88.89627200894098,direction,35.01417511156674,17.50708755578337,820.0627318143512,-0.17594187011030993,True,True
