variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
fifth,1012012,mixed,900.0,11,True,583.2812094357022,6416.093303792723,23925.466518963618,264,253,1,0,21,0.10056659999827389,1102.9311823636365,3497.504838,0,0
fifth,1012013,mixed,100.0,12,True,452.3399247547555,5428.079097057066,19975.39548528533,231,218,0,0,21,0.11099090000061551,724.4289381666666,1713.425042,0,0
fifth,1012013,mixed,300.0,12,True,453.4144977995206,5440.973973594247,19944.869867971236,234,222,0,0,21,0.1139779000004637,728.6140835,1721.795333,0,0
fifth,1012013,mixed,900.0,12,True,453.50335717992675,5442.040286159121,19950.201430795616,234,222,0,0,21,0.1101423000000068,729.0222771666666,1722.61172,0,0
fifth,1012100,edge_outward,100.0,16,True,427.5203422149287,6840.325475438859,23786.627377194283,336,314,3,0,21,0.07980160000079195,4141.2270811875,6415.40433,0,0
fifth,1012100,edge_outward,300.0,16,True,426.28921962456997,6820.6275139931195,23733.13756996559,335,313,2,0,21,0.0788925000015297,4134.3847083125,6397.312971,0,0
fifth,1012100,edge_outward,900.0,16,True,427.6874688862309,6842.999502179694,23764.997510898495,337,313,4,0,21,0.08005079999929876,4138.0496703750005,6413.476996,0,0
fifth,1012101,edge_outward,100.0,16,True,517.3551059184571,8277.681694695313,30703.40847347657,345,317,5,0,21,0.09792949999973644,4570.28491825,7198.030123,0,0
fifth,1012101,edge_outward,300.0,16,True,529.1965332281327,8467.144531650123,31340.72265825063,351,322,14,12,20,0.09317519999967772,4469.518954875,6324.80421,0,0
fifth,1012101,edge_outward,900.0,16,True,538.415622361086,8614.649957777376,32248.249788886867,350,320,5,0,21,0.10511009999754606,4506.1196744375,6749.743765,0,0
fifth,1012102,edge_outward,100.0,16,True,485.52967459739114,7768.474793558258,27327.37396779131,361,334,28,17,21,0.10117589999936172,4337.306371,6233.068894,0,0
fifth,1012102,edge_outward,300.0,16,True,462.0486475569885,7392.778360911816,25943.891804559087,350,332,14,0,21,0.10164830000212532,4509.593495625,6617.609418,0,0
fifth,1012102,edge_outward,900.0,16,True,470.99686696959793,7535.949871513567,26734.74935756784,349,325,13,0,21,0.09476229999927455,4360.9856094375,6293.977753,0,0
fifth,1012200,rotated_cluster,100.0,10,True,530.8912643578767,5308.912643578767,18424.56321789384,248,232,34,0,21,0.08110060000035446,553.9442097,2019.242097,0,0
fifth,1012200,rotated_cluster,300.0,10,True,532.1424536705522,5321.424536705522,18457.122683527617,248,232,36,0,21,0.08654229999956442,553.9442097,2019.242097,0,0
fifth,1012200,rotated_cluster,900.0,10,True,532.3437932581915,5323.4379325819145,18452.18966290958,248,232,37,0,21,0.08754110000154469,553.9442097,2019.242097,0,0
fifth,1012201,rotated_cluster,100.0,10,True,572.266287468718,5722.66287468718,19173.31437343591,291,275,36,0,21,0.08372790000066743,1570.2235048,3488.144017,0,0
fifth,1012201,rotated_cluster,300.0,10,True,582.0489291996319,5820.489291996319,19512.446459981606,294,278,40,0,21,0.08427709999887156,1670.5827367,3822.67479,0,0
fifth,1012201,rotated_cluster,900.0,10,True,571.9699680621814,5719.699680621813,19173.49840310908,291,275,35,0,21,0.08176889999958803,1570.2235048,3488.144017,0,0
fifth,1012300,minimum_range,100.0,12,True,466.79805765147836,5601.5766918177405,20822.8834590887,231,222,0,0,21,0.10840330000064569,732.6115849166666,1886.683534,0,0
fifth,1012300,minimum_range,300.0,12,True,467.12077897797855,5605.449347735743,20842.246738678707,231,222,0,0,21,0.1071367000004102,732.7211344166667,1887.121732,0,0
